latitude,longitude
34.9449537,-86.5723069
31.8438346,-85.1680466
34.6166297,-86.5679947
31.442571,-85.65124
30.6796199,-88.1946355
33.5979239,-86.6460141
33.4539404,-86.9693846
33.2370067,-87.6077801
33.6470483,-86.826208
30.7043113,-88.1248202
34.7421718,-86.6761204
34.6675225,-86.0100446
33.2124803,-86.8272692
32.8153827,-86.604033
32.9192262,-85.954943
34.1513453,-86.842289
33.4096234,-86.6659485
33.4670248,-86.8206808
33.3832843,-86.7414679
33.3638239,-86.8270101
33.2356814,-87.5540706
33.6437009,-86.6287435
34.8405896,-87.6345631
34.5546923,-86.9995837
34.678771,-86.752578
34.7425598,-86.6010938
33.1665044,-87.5482771
32.4600375,-86.4242273
34.6751894,-86.5416256
32.3644334,-86.2688278
32.3375566,-86.1799838
32.339695,-86.2254772
32.382972,-86.1849898
30.3987133,-87.6826713
30.6706198,-88.2260727
32.5751651,-85.498272
33.613864,-85.7882672
31.234758,-85.4513576
31.3187623,-85.8313148
32.4952456,-86.4005167
31.3165108,-86.4973054
34.7486089,-86.7727048
30.6485521,-87.9134034
34.3010435,-86.2737656
30.6573578,-87.851484
34.6020464,-86.9804936
33.6100329,-86.8020454
34.7448351,-87.6422731
33.1725325,-86.2868119
31.7795726,-85.9417323
33.331045,-86.998248
33.4281727,-86.791528
30.5977262,-88.1656141
32.4991044,-85.0433796
33.5250579,-86.7242295
33.6075366,-86.2748563
33.2814339,-86.8534226
33.8465254,-87.2605687
34.4362566,-85.7453135
33.6890851,-85.8236452
32.6217989,-85.4061564
34.2173874,-86.1583846
33.1463816,-86.7467129
32.8170529,-85.2050077
33.3634307,-87.000442
33.5718462,-86.5197467
30.2705769,-87.6871771
30.640686,-88.1935504
30.5320233,-87.7104158
33.2710322,-86.809187
32.511276,-86.2127923
34.786634,-86.960299
33.9834694,-86.004842
32.4307609,-87.0308416
33.4619547,-86.7309399
33.4381803,-86.0871639
31.4564084,-86.9634083
34.2057333,-86.8688987
31.2587124,-85.4360462
32.3816564,-86.2429211
33.7779658,-86.4298879
34.8431009,-87.6891987
32.4705983,-85.0909888
34.4436393,-86.9434272
34.8175686,-86.4935106
33.956179,-86.465639
31.1805873,-85.4016803
34.452159,-93.0761107
35.2109332,-90.2088705
35.811592,-90.669789
34.8303378,-92.1906072
36.0604575,-90.5258192
34.6150937,-92.4988754
35.0713851,-92.4939317
34.9674471,-91.9897597
34.8545213,-92.4038226
34.8704022,-92.1274673
35.9293303,-89.8703351
36.0569891,-94.1846969
36.3357245,-94.198083
35.2408973,-91.7216075
36.182323,-94.1392016
36.182157,-94.5148519
35.4699071,-94.3568835
34.6068856,-92.5336688
35.278383,-93.1038839
34.7426282,-92.3924899
29.059988,-81.3039005
27.9773044,-81.6461709
30.4826415,-81.6552825
30.3248442,-82.966636
30.389694,-87.0637598
30.2234664,-85.6498494
30.1016858,-81.7095522
26.5692878,-81.8713925
30.6422619,-81.4560077
30.1647369,-81.7479789
30.2871582,-81.449285
30.1963852,-81.8313592
30.2348592,-81.6970187
30.2533413,-81.535412
30.1789807,-82.6753888
30.1393235,-81.5470465
30.146803,-81.6321025
30.4713605,-84.2894104
30.4449675,-84.2925151
30.4266421,-84.2311521
30.4569238,-84.3618244
30.4970033,-84.2458661
30.4955424,-87.1936539
29.6757482,-82.3894095
30.4590491,-84.2291557
28.9117698,-81.285992
29.6219419,-82.3785424
27.9840868,-82.1222928
28.5971409,-81.2194165
28.0248379,-82.5067867
28.1005125,-81.9743976
27.9966297,-82.5139704
27.9385019,-82.253619
28.0128472,-81.731398
29.1872402,-82.1078838
29.1867799,-82.1780798
28.3087844,-81.4153424
29.0259919,-82.1545139
29.1591602,-82.1693874
27.899976,-81.8428417
30.261289,-82.1234394
29.9026726,-81.3208378
29.5521244,-81.2228597
29.6553148,-81.6695313
30.1808169,-85.8026774
29.6607621,-82.324947
28.562049,-81.1320395
30.2804962,-81.6032207
27.9330739,-81.9733821
30.2027877,-81.6179085
30.2441782,-81.5982602
30.4180303,-86.6089576
30.7193397,-86.5688125
30.7807991,-85.2430157
26.7079563,-80.1297298
28.1188572,-81.6406244
29.0690936,-82.0710795
29.8016824,-82.51666
30.2091128,-84.3659109
30.5324386,-87.2677787
28.4616556,-81.2722204
29.1657597,-82.0958819
30.3362106,-81.7574663
30.5599616,-84.2196254
27.2432402,-80.8200881
30.3305642,-81.5492513
27.2567931,-80.2804557
26.4860477,-81.784747
28.1466903,-81.4464817
30.6278246,-81.5512226
28.2151979,-80.6725632
28.8729521,-82.0890121
30.4762582,-87.3072434
30.0699975,-81.8662935
28.5523737,-81.5068568
27.0141252,-82.1334944
28.547321,-81.7177342
30.1495178,-85.5915764
28.0147477,-82.6139639
29.1169477,-82.2196369
27.8949481,-82.7575113
27.8483936,-82.3510168
28.5980259,-81.2974944
26.7015811,-80.2018465
30.6040998,-87.1275202
28.7553207,-81.2871101
27.4462196,-82.4760685
28.2743895,-82.6276678
29.2213247,-82.1469155
28.6173492,-81.414095
28.4748772,-82.4865943
27.2540611,-80.3765258
26.61865,-80.1356067
30.6785516,-86.1227613
29.264275,-81.107262
27.981253,-82.3011928
33.9902582,-83.7213872
34.7817175,-84.7704165
34.9434651,-85.2232564
33.5693036,-82.1921379
33.5393003,-82.0816311
33.5115328,-82.0361587
33.4493793,-82.1170825
33.4822851,-82.0941166
32.6623916,-83.7393995
32.5432029,-82.9582633
32.4866639,-82.9370261
32.2088475,-83.1910868
32.9729375,-82.8090398
32.6268528,-83.6133701
32.6176592,-83.6864267
32.8431425,-83.6309771
32.8986869,-83.7007303
32.04034,-81.066221
31.7841764,-82.3641376
31.1341256,-81.5685759
31.184568,-81.3794229
31.6167559,-81.8754245
30.7883639,-81.6493768
30.8398931,-83.3212143
30.6809871,-83.2197733
31.6202673,-84.176339
32.0742489,-84.2171551
31.6202854,-84.2271822
31.6917936,-83.2494507
31.1897186,-83.7622317
31.4747846,-83.5026259
31.4521518,-83.528696
32.4805673,-84.9464264
32.465213,-84.9180051
32.5590482,-84.905763
30.8880592,-84.5665424
30.8809296,-84.1975599
34.2364153,-84.4548825
31.958337,-83.754863
31.9565601,-81.3220198
32.5390542,-84.8672164
34.1516694,-83.6421998
32.1993716,-81.1960424
32.5890469,-82.3276816
33.8112266,-84.278224
33.9524334,-84.6494196
33.5602278,-83.4765868
34.175248,-84.4203235
33.6930212,-85.1520279
34.4671131,-84.4606027
34.868145,-83.403209
34.2520242,-84.0901057
34.0718228,-83.9146624
34.9431755,-83.751142
33.7878145,-84.6226688
33.9932761,-83.3360001
33.8625315,-84.6220129
33.934125,-84.728442
34.594101,-83.52633
34.1034292,-82.8526828
34.351701,-82.9044955
34.4755512,-84.926833
33.4231718,-82.0201291
32.5930238,-83.6127672
32.8805358,-83.7724846
32.8161322,-83.7148907
31.9971776,-81.2563811
32.0492331,-81.1638136
31.4965119,-82.8504109
32.001243,-81.1207927
31.1967318,-82.3237175
31.5826566,-84.1766426
30.8819653,-83.2907757
32.5331299,-84.9635072
32.1400946,-81.2451931
33.8450857,-84.6988769
33.944677,-83.7572159
33.5688964,-84.5369832
32.9119837,-84.3313818
34.5937481,-83.762592
33.2740351,-84.2924945
33.9944146,-84.5978027
34.2181354,-84.1527263
33.5528938,-84.2595273
33.7307513,-84.7589345
33.792805,-83.7437773
33.9880163,-83.8910717
33.558853,-85.0741365
33.915671,-83.4445336
33.8155236,-84.0395825
34.7613176,-84.9300053
34.199928,-84.7927007
33.0497025,-85.0254776
33.8557619,-84.02742
33.5885957,-84.4718011
33.595517,-85.0368649
34.2564437,-85.1645488
33.5421777,-84.5760771
33.4392655,-84.1207953
33.8743138,-84.3812689
33.5488265,-84.4153585
32.4343295,-81.781479
32.2057836,-82.3720139
34.3151961,-83.8272279
34.1205554,-83.763712
34.1423572,-83.954103
34.2505723,-83.4614792
33.9219449,-83.3418093
33.7349256,-84.6676295
33.4110102,-84.6831532
34.1633729,-84.1765038
33.4749101,-84.4397898
34.0319729,-84.6593961
31.214742,-81.4829484
33.5087909,-82.5032345
34.2496721,-84.4786824
34.0465924,-85.2366053
33.8974406,-83.9604165
33.6858773,-84.0033771
34.0749915,-84.2601855
34.2712532,-85.2348661
34.0359238,-84.5745629
34.1096433,-84.152953
33.9737764,-84.5523658
33.7726511,-84.3735299
31.9892557,-81.0822351
34.3622583,-84.0399128
34.0675542,-84.1647399
31.7106718,-83.6388748
33.7286256,-84.5735022
33.8392449,-83.9059722
34.2869837,-83.8403624
33.90943,-84.8219027
34.0929695,-84.0024267
33.8902304,-84.7527338
34.0569788,-84.3829113
33.7189399,-84.9396839
33.784177,-84.102909
34.0126417,-84.554855
33.967126,-84.41188
34.8758349,-83.9615685
33.4512134,-84.3264915
34.873129,-84.3249093
33.8273371,-84.4905481
33.421069,-84.559627
33.2968474,-83.3863465
33.571836,-84.3726665
34.2305851,-83.8686936
34.1821479,-85.2057839
33.3554225,-84.121165
34.1121854,-84.5592556
33.5594828,-84.3249914
33.8835039,-84.3176961
33.6575433,-84.511302
33.9229232,-84.017961
33.9053309,-84.2716222
33.6122755,-84.6113164
34.013683,-84.185644
34.0710733,-84.298539
34.532607,-83.9767204
33.6816434,-84.2320165
33.6045465,-83.8766645
33.7277463,-82.7163993
33.0415716,-84.9817134
33.6187242,-84.2430676
33.7214221,-84.1655641
33.8389305,-84.0676975
33.9192131,-84.1145266
33.4312871,-84.1787093
34.5444936,-83.5463683
33.4296859,-84.456141
33.5486442,-83.2037263
34.0459634,-84.0578318
33.9414008,-83.4675018
33.9486211,-83.4125057
33.9966784,-84.7024499
33.7625521,-84.1959474
33.6376284,-84.0189174
34.0755895,-84.6527759
34.0179529,-84.3109137
34.1902164,-84.5111962
33.6931822,-84.0960359
33.9685164,-84.1930024
33.3959554,-84.7529785
33.9765143,-84.0802025
34.115585,-84.2699768
33.8306178,-84.5764658
33.753924,-84.2702937
34.0860614,-84.4658714
